device_time_stamp,system_time_stamp,left_gaze_direction_unit_vector,left_gaze_direction_validity,left_gaze_origin_position_in_hmd_coordinates,left_gaze_origin_validity,left_pupil_diameter,left_pupil_validity,left_pupil_position_in_tracking_area,left_pupil_position_validity,right_gaze_direction_unit_vector,right_gaze_direction_validity,right_gaze_origin_position_in_hmd_coordinates,right_gaze_origin_validity,right_pupil_diameter,right_pupil_validity,right_pupil_position_in_tracking_area,right_pupil_position_validity
876334943,761970177908,"(-0.3043212890625, -0.2021484375, 0.9308624267578125)",1,"(34.12950134277344, 3.41278076171875, -42.23681640625)",1,3.4980926513671875,1,"(0.4930587112903595, 0.6282868385314941)",1,"(-0.2543487548828125, -0.354156494140625, 0.8999176025390625)",1,"(-28.77593994140625, 9.322784423828125, -39.34754943847656)",1,3.8731536865234375,1,"(0.4652579426765442, 0.4026901125907898)",1
876343274,761970186239,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49301350116729736, 0.6282868385314941)",1,"(-0.253021240234375, -0.35052490234375, 0.9017181396484375)",1,"(-28.7779541015625, 9.323898315429688, -39.35575866699219)",1,3.8937835693359375,1,"(0.4651470184326172, 0.4021264612674713)",1
876351606,761970194571,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49296170473098755, 0.6282350420951843)",1,"(-0.242584228515625, -0.4321746826171875, 0.8685302734375)",1,"(-28.813583374023438, 9.579559326171875, -38.99018859863281)",1,3.9154510498046875,1,"(0.4651470184326172, 0.40198683738708496)",1
876359937,761970202902,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49290838837623596, 0.6278061866760254)",1,"(-0.2319793701171875, -0.5014495849609375, 0.83349609375)",1,"(-28.849212646484375, 9.835220336914062, -38.83332824707031)",1,3.9396820068359375,1,"(0.4651470184326172, 0.4021264612674713)",1
876368269,761970211234,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4928383529186249, 0.6271123290061951)",1,"(-0.2514190673828125, -0.340484619140625, 0.9059906005859375)",1,"(-28.784439086914062, 9.291366577148438, -39.395111083984375)",1,3.8960113525390625,1,"(0.4651470184326172, 0.4021264612674713)",1
876376600,761970219565,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4928383529186249, 0.6271123290061951)",1,"(-0.239044189453125, -0.4252166748046875, 0.8729400634765625)",1,"(-28.824676513671875, 9.58819580078125, -39.203765869140625)",1,3.9107513427734375,1,"(0.4650403559207916, 0.40244269371032715)",1
876384932,761970227897,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4928067922592163, 0.6271123290061951)",1,"(-0.249359130859375, -0.3408355712890625, 0.90643310546875)",1,"(-28.786163330078125, 9.278350830078125, -39.375091552734375)",1,3.905609130859375,1,"(0.4649175703525543, 0.40244269371032715)",1
876393263,761970236228,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49278882145881653, 0.6271123290061951)",1,"(-0.236114501953125, -0.42572021484375, 0.8734893798828125)",1,"(-28.82720947265625, 9.60382080078125, -39.266143798828125)",1,3.9387054443359375,1,"(0.4647294282913208, 0.40244269371032715)",1
876401595,761970244560,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49278807640075684, 0.6269569993019104)",1,"(-0.222900390625, -0.5120849609375, 0.829498291015625)",1,"(-28.866241455078125, 9.939956665039062, -39.13615417480469)",1,4.0062103271484375,1,"(0.46454620361328125, 0.4025112986564636)",1
876409927,761970252892,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4927426874637604, 0.6269569993019104)",1,"(-0.2476043701171875, -0.3409271240234375, 0.906890869140625)",1,"(-28.781280517578125, 9.285568237304688, -39.25181579589844)",1,3.9049072265625,1,"(0.46449434757232666, 0.4010450839996338)",1
876418258,761970261223,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49261027574539185, 0.6269569993019104)",1,"(-0.246673583984375, -0.346527099609375, 0.9050140380859375)",1,"(-28.779098510742188, 9.279632568359375, -39.20664978027344)",1,3.956390380859375,1,"(0.46429771184921265, 0.4016609191894531)",1
876426590,761970269555,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4925732910633087, 0.6265256404876709)",1,"(-0.246185302734375, -0.3434600830078125, 0.90631103515625)",1,"(-28.77691650390625, 9.273712158203125, -39.1614990234375)",1,3.9075775146484375,1,"(0.4641343653202057, 0.4010450839996338)",1
876434921,761970277886,"(-0.298370361328125, -0.1879730224609375, 0.9357452392578125)",1,"(34.11952209472656, 3.4180908203125, -42.29008483886719)",1,3.506866455078125,1,"(0.49257197976112366, 0.6265256404876709)",1,"(-0.25384521484375, -0.34881591796875, 0.9021453857421875)",1,"(-28.747055053710938, 9.112136840820312, -38.47102355957031)",1,3.97857666015625,1,"(0.46411773562431335, 0.4016609191894531)",1
876443253,761970286218,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4921272397041321, 0.6269569993019104)",1,"(-0.26153564453125, -0.35137939453125, 0.8989410400390625)",1,"(-28.717193603515625, 8.9505615234375, -37.780548095703125)",1,4.0499725341796875,1,"(0.464101105928421, 0.401854544878006)",1
876451584,761970294549,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49212151765823364, 0.6271028518676758)",1,"(-0.261260986328125, -0.3516693115234375, 0.8989105224609375)",1,"(-28.715133666992188, 8.947402954101562, -37.77424621582031)",1,4.0547637939453125,1,"(0.4639872610569, 0.4019516110420227)",1
876459916,761970302881,"(-0.26910400390625, -0.1918792724609375, 0.94378662109375)",1,"(34.02272033691406, 4.0983123779296875, -44.67071533203125)",1,3.4307403564453125,1,"(0.49195343255996704, 0.62729811668396)",1,"(-0.2610015869140625, -0.3511962890625, 0.8991851806640625)",1,"(-28.71307373046875, 8.944229125976562, -37.780548095703125)",1,4.0547332763671875,1,"(0.4638734459877014, 0.40204867720603943)",1
876468247,761970311212,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.491902619600296, 0.6274439096450806)",1,"(-0.261077880859375, -0.34979248046875, 0.8997039794921875)",1,"(-28.71075439453125, 8.939971923828125, -37.784027099609375)",1,4.0544891357421875,1,"(0.46379733085632324, 0.4020225405693054)",1
876476579,761970319544,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.491902619600296, 0.6276707053184509)",1,"(-0.2611541748046875, -0.3487396240234375, 0.90008544921875)",1,"(-28.70843505859375, 8.935714721679688, -37.78749084472656)",1,4.054351806640625,1,"(0.46372124552726746, 0.40204867720603943)",1
876484910,761970327875,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49160653352737427, 0.6278671026229858)",1,"(-0.260650634765625, -0.3489532470703125, 0.900146484375)",1,"(-28.705947875976562, 8.93560791015625, -37.78758239746094)",1,4.0540771484375,1,"(0.46356087923049927, 0.4020693898200989)",1
876493242,761970336207,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4915427267551422, 0.6281681656837463)",1,"(-0.2601470947265625, -0.3488006591796875, 0.900360107421875)",1,"(-28.703475952148438, 8.93548583984375, -37.78749084472656)",1,4.0535736083984375,1,"(0.4634004831314087, 0.40204867720603943)",1
876501573,761970344538,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49139904975891113, 0.6281681656837463)",1,"(-0.2601165771484375, -0.3486785888671875, 0.9004058837890625)",1,"(-28.700546264648438, 8.93560791015625, -37.78758239746094)",1,4.0537567138671875,1,"(0.4632876217365265, 0.4020225405693054)",1
876509905,761970352870,"(-0.2521209716796875, -0.2078399658203125, 0.945098876953125)",1,"(34.07975769042969, 3.8717803955078125, -43.77943420410156)",1,3.5516510009765625,1,"(0.4872628152370453, 0.628156840801239)",1,"(-0.2524871826171875, -0.3397064208984375, 0.9059906005859375)",1,"(-28.65484619140625, 8.967437744140625, -37.80987548828125)",1,4.1007232666015625,1,"(0.4605616629123688, 0.39952102303504944)",1
876518236,761970361201,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4866426885128021, 0.627694308757782)",1,"(-0.251190185546875, -0.3419952392578125, 0.905487060546875)",1,"(-28.657806396484375, 9.024169921875, -37.9212646484375)",1,4.08123779296875,1,"(0.46049290895462036, 0.39877578616142273)",1
876526568,761970369533,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4861792325973511, 0.6275081634521484)",1,"(-0.258209228515625, -0.3405609130859375, 0.904052734375)",1,"(-28.670700073242188, 9.071243286132812, -37.89289855957031)",1,4.005615234375,1,"(0.46194374561309814, 0.39672917127609253)",1
876534899,761970377864,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48483550548553467, 0.6297141313552856)",1,"(-0.2358551025390625, -0.3576202392578125, 0.9035797119140625)",1,"(-28.725509643554688, 9.364486694335938, -38.620574951171875)",1,4.00567626953125,1,"(0.46086403727531433, 0.39473795890808105)",1
876543231,761970386196,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48809173703193665, 0.6275697350502014)",1,"(-0.229339599609375, -0.4393157958984375, 0.8685455322265625)",1,"(-28.794891357421875, 10.041519165039062, -41.00856018066406)",1,3.6147003173828125,1,"(0.4625093340873718, 0.40437743067741394)",1
876551562,761970394527,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.507495105266571, 0.6869877576828003)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4404301941394806, 0.46444642543792725)",1
876559894,761970402859,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.5290257930755615, 0.6967228651046753)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876568225,761970411190,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876576557,761970419522,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6620166301727295, 0.8826462030410767)",1
876584889,761970427854,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6611220836639404, 0.8850520253181458)",1
876593220,761970436185,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6623599529266357, 0.8823268413543701)",1
876601552,761970444517,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6613180637359619, 0.8850520253181458)",1
876609883,761970452848,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6612200736999512, 0.8900968432426453)",1
876618215,761970461180,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6613180637359619, 0.890651524066925)",1
876626546,761970469511,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6624183058738708, 0.8878517746925354)",1
876634878,761970477843,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.6635185480117798, 0.8881462812423706)",1
876643209,761970486174,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876651541,761970494506,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.46858900785446167, 0.6981096863746643)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876659872,761970502837,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4991234540939331, 0.6588494777679443)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876668204,761970511169,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.5017510056495667, 0.6532630920410156)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(nan, nan)",0
876676535,761970519500,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4870104491710663, 0.6278367638587952)",1,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.46581611037254333, 0.41548511385917664)",1
876684867,761970527832,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.490446537733078, 0.6231575012207031)",1,"(-0.22991943359375, -0.5206146240234375, 0.822235107421875)",1,"(-28.97357177734375, 9.067886352539062, -36.26295471191406)",1,3.0980682373046875,1,"(0.4689810872077942, 0.4109382629394531)",1
876693198,761970536163,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49006807804107666, 0.6264582276344299)",1,"(-0.2074127197265625, -0.458251953125, 0.8642730712890625)",1,"(-28.97845458984375, 9.651214599609375, -38.89085388183594)",1,3.44537353515625,1,"(0.4661288559436798, 0.4027418792247772)",1
876701530,761970544495,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49061185121536255, 0.6225458979606628)",1,"(-0.2599334716796875, -0.44354248046875, 0.8577117919921875)",1,"(-28.795333862304688, 9.1834716796875, -36.600006103515625)",1,3.7458038330078125,1,"(0.46684160828590393, 0.3974568247795105)",1
876709861,761970552826,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4887557327747345, 0.6211953163146973)",1,"(-0.239105224609375, -0.3795166015625, 0.89373779296875)",1,"(-28.9287109375, 10.130722045898438, -41.05705261230469)",1,3.8306884765625,1,"(0.4689868092536926, 0.3917787969112396)",1
876718193,761970561158,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4918553829193115, 0.6255660057067871)",1,"(-0.2256317138671875, -0.3689727783203125, 0.9016265869140625)",1,"(-28.915817260742188, 10.13629150390625, -41.13331604003906)",1,4.016448974609375,1,"(0.46661660075187683, 0.3902226388454437)",1
876726524,761970569489,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48893728852272034, 0.6176808476448059)",1,"(-0.2486419677734375, -0.355560302734375, 0.9009552001953125)",1,"(-28.831680297851562, 9.612380981445312, -39.08583068847656)",1,4.115020751953125,1,"(0.466666579246521, 0.38947156071662903)",1
876734856,761970577821,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4898524880409241, 0.6193448901176453)",1,"(-0.26885986328125, -0.3414764404296875, 0.900604248046875)",1,"(-28.845977783203125, 9.598159790039062, -39.15101623535156)",1,4.0864410400390625,1,"(0.4700315594673157, 0.38872554898262024)",1
876743188,761970586153,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49075430631637573, 0.6165508031845093)",1,"(-0.246246337890625, -0.338714599609375, 0.9080810546875)",1,"(-28.83404541015625, 9.5179443359375, -38.81578063964844)",1,4.0694427490234375,1,"(0.4663715064525604, 0.38799357414245605)",1
876751519,761970594484,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.49187126755714417, 0.6230863928794861)",1,"(-0.232421875, -0.306640625, 0.923004150390625)",1,"(-28.839828491210938, 9.549606323242188, -39.01202392578125)",1,4.109619140625,1,"(0.46464481949806213, 0.3834463953971863)",1
876759851,761970602816,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48897385597229004, 0.619340181350708)",1,"(-0.2305755615234375, -0.3427886962890625, 0.9106597900390625)",1,"(-28.86041259765625, 9.627960205078125, -39.29425048828125)",1,4.071075439453125,1,"(0.46515992283821106, 0.38861575722694397)",1
876768182,761970611147,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.48899975419044495, 0.6186346411705017)",1,"(-0.24163818359375, -0.3282928466796875, 0.9131317138671875)",1,"(-28.821548461914062, 9.498367309570312, -38.86541748046875)",1,3.94879150390625,1,"(0.4652186632156372, 0.3876115381717682)",1
876776514,761970619479,"(nan, nan, nan)",0,"(nan, nan, nan)",0,,0,"(0.4904215335845947, 0.6167997121810913)",1,"(-0.243682861328125, -0.35491943359375, 0.9025726318359375)",1,"(-28.833816528320312, 9.502914428710938, -38.84645080566406)",1,4.047943115234375,1,"(0.46600258350372314, 0.39130592346191406)",1
