AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.083314,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981438731,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34840000, 407.34690000, 459.87210000)","(-0.11818490, 0.15293620, 0.02639112, 0.98078860)",True,"(0.12606810, -0.24847410, 0.96038820)",True,"(0.02781517, 0.02358530, -0.09593077)",True,"(0.42396690, -0.00881971, 0.90563480)","(431.34460000, 407.34720000, 459.76950000)",True,0.00221683,True
0.091645,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981447062,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34820000, 407.34560000, 459.87190000)","(-0.11854710, 0.15201290, 0.02615062, 0.98089490)",True,"(0.17742920, -0.21792600, 0.95968630)",True,"(0.02726515, 0.01878958, -0.07574417)",True,"(0.46827270, 0.02202427, 0.88330950)","(431.35040000, 407.34610000, 459.78930000)",True,0.00282164,True
0.099977,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981455394,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34810000, 407.34470000, 459.87180000)","(-0.11889880, 0.15156300, 0.02596998, 0.98092680)",True,"(0.22183230, -0.17451480, 0.95933530)",True,"(0.02671513, 0.01399385, -0.05555757)",True,"(0.50585380, 0.06529082, 0.86014480)","(431.35610000, 407.34530000, 459.80910000)",True,0.00351775,True
0.108308,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981463725,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34800000, 407.34380000, 459.87170000)","(-0.11925030, 0.15111300, 0.02578934, 0.98095820)",True,"(0.16796880, -0.18893430, 0.96751400)",True,"(0.02726515, 0.01805960, -0.07302182)",True,"(0.45733350, 0.05303553, 0.88771240)","(431.35120000, 407.34410000, 459.79170000)",True,0.00291119,True
0.11664,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981472057,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34780000, 407.34290000, 459.87160000)","(-0.11960190, 0.15066290, 0.02560867, 0.98098940)",True,"(0.10441590, -0.19615170, 0.97499080)",True,"(0.02772539, 0.02062271, -0.08408847)",True,"(0.39869840, 0.04751226, 0.91585050)","(431.34810000, 407.34290000, 459.78070000)",True,0.00253493,True
0.124971,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981480388,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34770000, 407.34200000, 459.87140000)","(-0.11995340, 0.15021290, 0.02542802, 0.98102020)",True,"(0.10560610, -0.19526670, 0.97503660)",True,"(0.02773091, 0.02066634, -0.08428850)",True,"(0.39890540, 0.04899539, 0.91568230)","(431.34810000, 407.34190000, 459.78030000)",True,0.00253108,True
0.133303,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981488720,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34760000, 407.34110000, 459.87130000)","(-0.12030480, 0.14976270, 0.02524733, 0.98105070)",True,"(0.10777280, -0.19413760, 0.97502140)",True,"(0.02773645, 0.02070996, -0.08448851)",True,"(0.40000620, 0.05071301, 0.91510830)","(431.34800000, 407.34100000, 459.78000000)",True,0.00253067,True
0.141635,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981497052,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34750000, 407.34020000, 459.87120000)","(-0.12065630, 0.14931250, 0.02506664, 0.98108080)",True,"(0.11476140, -0.19673160, 0.97370910)",True,"(0.02776660, 0.02127699, -0.08691233)",True,"(0.40565100, 0.04856516, 0.91273700)","(431.34730000, 407.33990000, 459.77750000)",True,0.00244728,True
0.149966,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981505383,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34740000, 407.33920000, 459.87100000)","(-0.12123090, 0.14889930, 0.02482417, 0.98107890)",True,"(0.12203980, -0.19891360, 0.97238160)",True,"(0.02779677, 0.02184401, -0.08933613)",True,"(0.41159300, 0.04721015, 0.91014420)","(431.34650000, 407.33880000, 459.77500000)",True,0.00236945,True
0.158298,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,981513715,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(431.34730000, 407.33810000, 459.87070000)","(-0.12275230, 0.14864290, 0.02431965, 0.98094120)",True,"(0.12251280, -0.20098880, 0.97189330)",True,"(0.02780597, 0.02198468, -0.08991112)",True,"(0.41150260, 0.04776447, 0.91015610)","(431.34630000, 407.33740000, 459.77400000)",True,0.00234604,True
