AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,DeviceTimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,OriginalLeftGazeDirection,OriginalLeftGazeDirectionValid,OriginalLeftGazeOriginPositionInHMD,OriginalLeftGazeOriginPositionInHMDValid,OriginalLeftPupilDiameter,OriginalLeftPupilDiameterValid,OriginalLeftPupilPositionInTrackingArea,OriginalLeftPupilPositionInTrackingAreaValid,OriginalRightGazeDirection,OriginalRightGazeDirectionValid,OriginalRightGazeOriginPositionInHMD,OriginalRightGazeOriginPositionInHMDValid,OriginalRightPupilDiameter,OriginalRightPupilDiameterValid,OriginalRightPupilPositionInTrackingArea,OriginalRightPupilPositionInTrackingAreaValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid,SystemTimeStamp
0.0,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,72768357,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(0.51601530, 0.66481580)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08674989, 0.84882800, 0.12284500, 0.50682800)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,326475230149
0.00833,"(0.81487500, -0.22795130, -0.53293230)","(432.38620000, 407.21670000, 462.19140000)",True,72776687,"(0.12553410, -0.50540160, 0.85368350)",True,"(-0.03518950, 0.00187900, -0.03545131)",True,"(0.79454210, -0.23235800, -0.56099270)","(432.40170000, 407.21810000, 462.22200000)",True,0.00298003,True,"(-0.12553410, -0.50540160, 0.85368350)",Valid,"(35.18950000, 1.87899800, -35.45131000)",Valid,2.98002600,Valid,"(0.51303140, 0.64512830)",Valid,"(-0.05657959, -0.50065610, 0.86378480)",Valid,"(-33.50467000, 0.29450990, -34.29776000)",Valid,3.14175400,Valid,"(0.52224470, 0.69564300)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08670597, 0.84882840, 0.12283090, 0.50683840)",True,"(0.05657959, -0.50065610, 0.86378480)",True,"(0.03350467, 0.00029451, -0.03429776)",True,"(0.83421360, -0.22326650, -0.50422190)","(432.37070000, 407.21540000, 462.16080000)",True,0.00314175,True,326475238479
0.016662,"(0.81741850, -0.21590080, -0.53405430)","(432.38580000, 407.21670000, 462.19160000)",True,72785019,"(0.12471010, -0.49681090, 0.85884090)",True,"(-0.03519475, 0.00198549, -0.03576627)",True,"(0.79690220, -0.22266660, -0.56157510)","(432.40140000, 407.21810000, 462.22220000)",True,0.00307442,True,"(-0.12471010, -0.49681090, 0.85884090)",Valid,"(35.19475000, 1.98548900, -35.76627000)",Valid,3.07441700,Valid,"(0.51269810, 0.64415760)",Valid,"(-0.05642700, -0.48779300, 0.87112430)",Valid,"(-33.48431000, 0.50154110, -34.86507000)",Valid,3.19902000,Valid,"(0.52216480, 0.69443250)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08666202, 0.84882860, 0.12281690, 0.50684870)",True,"(0.05642700, -0.48779300, 0.87112430)",True,"(0.03348431, 0.00050154, -0.03486507)",True,"(0.83693410, -0.20887080, -0.50587960)","(432.37020000, 407.21540000, 462.16100000)",True,0.00319902,True,326475246811
0.024993,"(0.81489910, -0.21597810, -0.53785960)","(432.38580000, 407.21670000, 462.19160000)",True,72793350,"(0.12733460, -0.49809270, 0.85771180)",True,"(-0.03519807, 0.00199037, -0.03578046)",True,"(0.79505120, -0.22434460, -0.56352730)","(432.40140000, 407.21810000, 462.22220000)",True,0.00306517,True,"(-0.12733460, -0.49809270, 0.85771180)",Valid,"(35.19807000, 1.99037200, -35.78046000)",Valid,3.06517000,Valid,"(0.51289950, 0.64432480)",Valid,"(-0.06288147, -0.48614500, 0.87159730)",Valid,"(-33.48436000, 0.50582890, -34.87630000)",Valid,3.18055700,Valid,"(0.52293500, 0.69420850)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08661810, 0.84882900, 0.12280280, 0.50685910)",True,"(0.06288147, -0.48614500, 0.87159730)",True,"(0.03348436, 0.00050583, -0.03487630)",True,"(0.83383220, -0.20736900, -0.51158760)","(432.37020000, 407.21540000, 462.16100000)",True,0.00318056,True,326475255142
0.033325,"(0.81762620, -0.21396710, -0.53451420)","(432.38580000, 407.21670000, 462.19160000)",True,72801682,"(0.12271120, -0.49237060, 0.86167910)",True,"(-0.03520648, 0.00199750, -0.03579649)",True,"(0.79899130, -0.21766200, -0.56056780)","(432.40140000, 407.21810000, 462.22220000)",True,0.00296864,True,"(-0.12271120, -0.49237060, 0.86167910)",Valid,"(35.20648000, 1.99749800, -35.79649000)",Valid,2.96864300,Valid,"(0.51216490, 0.64345910)",Valid,"(-0.05894470, -0.48863220, 0.87048340)",Valid,"(-33.48441000, 0.50740050, -34.87157000)",Valid,3.16674800,Valid,"(0.52245660, 0.69443250)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08657416, 0.84882930, 0.12278880, 0.50686940)",True,"(0.05894470, -0.48863220, 0.87048340)",True,"(0.03348441, 0.00050740, -0.03487157)",True,"(0.83541110, -0.21004970, -0.50790490)","(432.37020000, 407.21540000, 462.16100000)",True,0.00316675,True,326475263474
0.041656,"(0.81605660, -0.21691440, -0.53572370)","(432.38580000, 407.21670000, 462.19160000)",True,72810013,"(0.12768550, -0.49716190, 0.85820010)",True,"(-0.03521084, 0.00200261, -0.03580669)",True,"(0.79501170, -0.22343920, -0.56394270)","(432.40140000, 407.21810000, 462.22220000)",True,0.00308637,True,"(-0.12768550, -0.49716190, 0.85820010)",Valid,"(35.21085000, 2.00260900, -35.80669000)",Valid,3.08636500,Valid,"(0.51244010, 0.64403920)",Valid,"(-0.05767822, -0.48867800, 0.87054440)",Valid,"(-33.48466000, 0.50447080, -34.86832000)",Valid,3.16418500,Valid,"(0.52231070, 0.69450270)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08653023, 0.84882960, 0.12277470, 0.50687980)",True,"(0.05767822, -0.48867800, 0.87054440)",True,"(0.03348466, 0.00050447, -0.03486831)",True,"(0.83605560, -0.21011160, -0.50681780)","(432.37020000, 407.21540000, 462.16100000)",True,0.00316419,True,326475271805
0.049988,"(0.81528600, -0.21583510, -0.53733040)","(432.38580000, 407.21670000, 462.19160000)",True,72818345,"(0.13003540, -0.49470520, 0.85926820)",True,"(-0.03521097, 0.00200687, -0.03581249)",True,"(0.79411770, -0.22088930, -0.56620230)","(432.40140000, 407.21800000, 462.22220000)",True,0.00307086,True,"(-0.13003540, -0.49470520, 0.85926820)",Valid,"(35.21097000, 2.00686600, -35.81248000)",Valid,3.07086200,Valid,"(0.51272710, 0.64362930)",Valid,"(-0.05882263, -0.48892210, 0.87033080)",Valid,"(-33.48492000, 0.50740050, -34.86807000)",Valid,3.16194200,Valid,"(0.52245660, 0.69443250)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08648629, 0.84883000, 0.12276060, 0.50689010)",True,"(0.05882263, -0.48892210, 0.87033080)",True,"(0.03348492, 0.00050740, -0.03486807)",True,"(0.83538840, -0.21049870, -0.50775630)","(432.37020000, 407.21540000, 462.16100000)",True,0.00316194,True,326475280137
0.058319,"(0.81558040, -0.21494490, -0.53724050)","(432.38580000, 407.21670000, 462.19160000)",True,72826676,"(0.12747190, -0.49249270, 0.86091610)",True,"(-0.03521109, 0.00201112, -0.03581827)",True,"(0.79608670, -0.21830080, -0.56443850)","(432.40140000, 407.21800000, 462.22220000)",True,0.00305418,True,"(-0.12747190, -0.49249270, 0.86091610)",Valid,"(35.21109000, 2.01112400, -35.81827000)",Valid,3.05418400,Valid,"(0.51244010, 0.64321950)",Valid,"(-0.06088257, -0.48953250, 0.86984250)",Valid,"(-33.48640000, 0.50773620, -34.86658000)",Valid,3.15185500,Valid,"(0.52275350, 0.69450270)",Valid,"(432.41540000, 407.22600000, 462.17460000)","(-0.08643999, 0.84883510, 0.12274330, 0.50689370)",True,"(0.06088257, -0.48953250, 0.86984250)",True,"(0.03348640, 0.00050774, -0.03486658)",True,"(0.83415170, -0.21134600, -0.50943490)","(432.37020000, 407.21540000, 462.16100000)",True,0.00315186,True,326475288468
0.066651,"(0.81487010, -0.21465440, -0.53843330)","(432.38590000, 407.21670000, 462.19150000)",True,72835008,"(0.12792970, -0.49227910, 0.86097720)",True,"(-0.03521097, 0.00201334, -0.03582306)",True,"(0.79577060, -0.21820520, -0.56492090)","(432.40150000, 407.21800000, 462.22210000)",True,0.00307007,True,"(-0.12792970, -0.49227910, 0.86097720)",Valid,"(35.21097000, 2.01333600, -35.82306000)",Valid,3.07006800,Valid,"(0.51247820, 0.64316770)",Valid,"(-0.06295776, -0.48892210, 0.87004090)",Valid,"(-33.48787000, 0.50740050, -34.86507000)",Valid,3.14202900,Valid,"(0.52305030, 0.69443250)",Valid,"(432.41550000, 407.22590000, 462.17450000)","(-0.08637968, 0.84886850, 0.12270650, 0.50685680)",True,"(0.06295776, -0.48892210, 0.87004090)",True,"(0.03348787, 0.00050740, -0.03486507)",True,"(0.83309030, -0.21087200, -0.51136440)","(432.37030000, 407.21530000, 462.16090000)",True,0.00314203,True,326475296800
0.074982,"(0.81488150, -0.21546610, -0.53809160)","(432.38600000, 407.21670000, 462.19150000)",True,72843339,"(0.12774660, -0.49250790, 0.86087040)",True,"(-0.03521084, 0.00201117, -0.03581827)",True,"(0.79574230, -0.21856940, -0.56482010)","(432.40160000, 407.21800000, 462.22210000)",True,0.00308595,True,"(-0.12774660, -0.49250790, 0.86087040)",Valid,"(35.21085000, 2.01116900, -35.81827000)",Valid,3.08595300,Valid,"(0.51244010, 0.64321950)",Valid,"(-0.06233215, -0.48995970, 0.86950680)",Valid,"(-33.48805000, 0.50636290, -34.85513000)",Valid,3.15239000,Valid,"(0.52298300, 0.69450270)",Valid,"(432.41560000, 407.22590000, 462.17440000)","(-0.08631938, 0.84890200, 0.12266970, 0.50682000)",True,"(0.06233215, -0.48995970, 0.86950680)",True,"(0.03348805, 0.00050636, -0.03485513)",True,"(0.83313210, -0.21212780, -0.51077650)","(432.37040000, 407.21530000, 462.16090000)",True,0.00315239,True,326475305131
