AdjustedTime,CombinedGazeRayWorldDirection,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldValid,GazeData_TimeStamp,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftGazeRayWorldDirection,LeftGazeRayWorldOrigin,LeftGazeRayWorldValid,LeftPupilDiameter,LeftPupilDiameterValid,Pose_Position,Pose_Rotation,Pose_Valid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightGazeRayWorldDirection,RightGazeRayWorldOrigin,RightGazeRayWorldValid,RightPupilDiameter,RightPupilDiameterValid
0.091646,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574571335,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.01610000, 460.27700000)","(0.76187090, -0.11478340, 0.62838570, 0.10728040)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.099978,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574579667,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.01500000, 460.27660000)","(0.76252180, -0.11501200, 0.62741770, 0.10807310)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.108309,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574587998,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.01400000, 460.27610000)","(0.76328820, -0.11528040, 0.62628000, 0.10897230)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.116641,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574596330,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.01290000, 460.27560000)","(0.76405260, -0.11554850, 0.62514040, 0.10987130)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.124972,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574604661,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.01190000, 460.27510000)","(0.76481470, -0.11581620, 0.62399920, 0.11076990)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.133304,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574612993,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88050000, 407.01080000, 460.27460000)","(0.76557490, -0.11608370, 0.62285630, 0.11166820)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.141635,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574621324,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88050000, 407.00980000, 460.27410000)","(0.76633280, -0.11635080, 0.62171160, 0.11256620)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.149967,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574629656,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88050000, 407.00870000, 460.27360000)","(0.76698320, -0.11656320, 0.62060460, 0.11401640)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.158298,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574637987,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88060000, 407.00770000, 460.27290000)","(0.76727870, -0.11659510, 0.61962270, 0.11728930)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
0.16663,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,574646319,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False,"(430.88070000, 407.00670000, 460.27220000)","(0.76756520, -0.11662560, 0.61863330, 0.12056130)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,"(0.00000000, 0.00000000, 0.00000000)","(NaN, NaN, NaN)",False,NaN,False
